,SH,Category,Weight,Filling start,Alt filling start,Filling end,Pickup,Plate,Arrival,Unload,trip_id
46,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13640kg,2021-01-13T11:59:00Z,,2021-01-13T13:42:00Z,2021-01-13T16:28:00Z,LOH-244,2021-01-13T18:37:00Z,2021-01-13T22:55:00Z,23.0
47,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,13660kg,2021-01-12T07:04:00Z,,2021-01-12T09:06:00Z,2021-01-13T16:29:00Z,LOH-244,2021-01-13T20:05:00Z,2021-01-13T22:55:00Z,23.0
48,HK Scan Rauma,Sekatuote siipikarja luokka 3,14620kg,2021-01-13T06:19:00Z,,2021-01-13T09:29:00Z,2021-01-13T16:45:00Z,VZR-635,2021-01-13T18:53:00Z,2021-01-13T20:32:00Z,24.0
49,HK Scan Rauma,Sekatuote siipikarja luokka 3,14020kg,2021-01-13T06:49:00Z,,2021-01-13T11:09:00Z,2021-01-13T16:45:00Z,VZR-635,2021-01-13T19:37:00Z,2021-01-13T20:32:00Z,24.0
50,HK Scan Rauma,Sekatuote siipikarja luokka 3,13200kg,2021-01-13T09:29:00Z,,2021-01-13T15:04:00Z,2021-01-13T20:17:00Z,NLZ-735,2021-01-13T23:11:00Z,2021-01-14T00:15:00Z,25.0
51,HK Scan Rauma,Sekatuote siipikarja luokka 3,13260kg,2021-01-13T15:08:00Z,,2021-01-13T18:59:00Z,2021-01-13T23:20:00Z,LOH-244,2021-01-14T01:20:00Z,2021-01-14T03:35:00Z,26.0
52,HK Scan Rauma,Sekatuote siipikarja luokka 3,11200kg,2021-01-13T19:04:00Z,,2021-01-13T22:35:00Z,2021-01-13T23:21:00Z,LOH-244,2021-01-14T01:52:00Z,2021-01-14T03:35:00Z,26.0
53,HK Scan Rauma,Sekatuote siipikarja luokka 3,5780kg,2021-01-13T04:07:00Z,,2021-01-13T19:58:00Z,2021-01-14T00:24:00Z,TLY-876,2021-01-14T03:00:00Z,2021-01-14T04:05:00Z,27.0
54,HK Scan Rauma,Sekatuote siipikarja luokka 3,9100kg,2021-01-13T17:16:00Z,,2021-01-13T23:06:00Z,2021-01-14T00:24:00Z,TLY-876,2021-01-14T02:25:00Z,2021-01-14T04:05:00Z,27.0
55,Atria  Nurmo siipikarja,Sekatuote siipikarja luokka 3,14220kg,2021-01-13T10:10:00Z,,2021-01-14T06:25:00Z,2021-01-14T08:42:00Z,IMV-333,2021-01-14T11:00:00Z,2021-01-14T12:46:00Z,28.0
